Date,Close ,Volume
12/10/2024,443.33,"18,453,100"
12/09/2024,446.02,"19,144,400"
12/06/2024,443.57,"18,821,000"
12/05/2024,442.62,"21,697,800"
12/04/2024,437.42,"26,009,400"
12/03/2024,431.2,"18,302,000"
12/02/2024,430.98,"20,207,200"
11/29/2024,423.46,"16,271,900"
11/27/2024,422.99,"18,332,400"
11/26/2024,427.99,"23,458,900"
11/25/2024,418.79,"27,691,100"
11/22/2024,417,"24,814,600"
11/21/2024,412.87,"20,780,200"
11/20/2024,415.49,"19,191,700"
11/19/2024,417.79,"18,133,500"
11/18/2024,415.76,"24,742,000"
11/15/2024,415,"28,247,600"
11/14/2024,426.89,"30,246,900"
11/13/2024,425.2,"21,502,200"
11/12/2024,423.03,"19,401,200"
11/11/2024,418.01,"24,503,300"
11/08/2024,422.54,"16,891,400"
11/07/2024,425.43,"19,901,800"
11/06/2024,420.18,"26,681,800"
11/05/2024,411.46,"17,626,000"
11/04/2024,408.46,"19,672,300"
11/01/2024,410.37,"24,230,400"
10/31/2024,406.35,"53,971,000"
10/30/2024,432.53,"29,749,100"
10/29/2024,431.95,"17,644,100"
10/28/2024,426.59,"14,882,400"
10/25/2024,428.15,"16,899,100"
10/24/2024,424.73,"13,581,600"
10/23/2024,424.6,"19,654,400"
10/22/2024,427.51,"25,482,200"
10/21/2024,418.78,"14,206,100"
10/18/2024,418.16,"17,145,300"
10/17/2024,416.72,"14,820,000"
10/16/2024,416.12,"15,508,900"
10/15/2024,418.74,"18,900,200"
10/14/2024,419.14,"16,653,100"
10/11/2024,416.32,"14,144,900"
10/10/2024,415.84,"13,848,400"
10/09/2024,417.46,"14,974,300"
10/08/2024,414.71,"19,229,300"
10/07/2024,409.54,"20,919,800"
10/04/2024,416.06,"19,169,700"
10/03/2024,416.54,"13,686,400"
10/02/2024,417.13,"16,582,300"
10/01/2024,420.69,"19,092,900"
09/30/2024,430.3,"16,807,300"
09/27/2024,428.02,"14,896,100"
09/26/2024,431.31,"14,492,000"
09/25/2024,432.11,"13,396,400"
09/24/2024,429.17,"17,015,800"
09/23/2024,433.51,"15,128,900"
